Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,chosen face,not chosen face,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price1a,price2a,price3a,price4a,price5a,price6a,price7a,price8a,price9a,price10a,price11a,price12a,,Participant_preference,face_rating,random number,fixation_times
105,1614077352759,23/02/2021 10:49:12,1614077352501,0,23/02/2021 10:49:12,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,8,option8,Zone1,response_button_text,707.4900000006892,,,See next option,1,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
106,1614077354932,23/02/2021 10:49:14,1614077354648,0,23/02/2021 10:49:14,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,9,option9,Zone1,response_button_text,2131.814999971539,,,See next option,1,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
107,1614077355526,23/02/2021 10:49:15,1614077355207,0,23/02/2021 10:49:15,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,10,option10,Zone1,response_button_text,531.2049999483861,,,See next option,1,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
108,1614077356464,23/02/2021 10:49:16,1614077356236,0,23/02/2021 10:49:16,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,11,option11,Zone1,response_button_text,1020.6149999867193,,,See next option,1,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
109,1614077358075,23/02/2021 10:49:18,1614077357783,0,23/02/2021 10:49:17,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,12,option12,Zone1,response_button_text,1536.9750000536442,,,"£1,115.99",1,1,0,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
110,1614077359063,23/02/2021 10:49:19,1614077358792,0,23/02/2021 10:49:18,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,24,congratulations,rating19,response_slider_firstInteraction,999.7420000000275,,,5,,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
111,1614077360604,23/02/2021 10:49:20,1614077360369,0,23/02/2021 10:49:20,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,24,congratulations,rating19,response_slider_endValue,2551.7949999775738,,,1,,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
112,1614077360674,23/02/2021 10:49:20,1614077360372,0,23/02/2021 10:49:20,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,7,7,24,congratulations,Zone4,continue_button,2551.7949999775738,,,,,0,1,0,,,,,1,sequence,,,<h1>£1250</h1>,<h1>£1152</h1>,<h1>£745.99</h1>,<h1>£1061.99</h1>,<h1>£1225</h1>,<h1>£745.75</h1>,<h1>£865.99</h1>,<h1>£480</h1>,<h1>£893.99</h1>,<h1>£1201.99</h1>,<h1>£1683</h1>,<h1>£1115.99</h1>,"£1,250","£1,152",£745.99,"£1,061.99","£1,225",£745.75,£865.99,£480,£893.99,"£1,201.99","£1,683","£1,115.99",,,,,
113,1614077360674,23/02/2021 10:49:20,1614077360378,0,23/02/2021 10:49:20,27661,5,task-hlnk,,10284437,5f3302a8aea7430e3fba8764,3128793,,complete,,6034d345784eeac4461cb7b4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1536x864,1536x722,,Hybrid 1 sequence,3,Spreadsheet1,,,END TASK,,,,,318571,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1614078211749,23/02/2021 11:03:31,1614078211186,0,23/02/2021 11:03:31,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614078230471,23/02/2021 11:03:50,1614078229984,0,23/02/2021 11:03:49,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,1,option1,Zone1,response_button_text,17972,,,See next option,1,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
3,1614078232549,23/02/2021 11:03:52,1614078232072,0,23/02/2021 11:03:52,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,2,option2,choice,response_button_text,2035,,,£432,1,1,0,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
4,1614078238433,23/02/2021 11:03:58,1614078237967,0,23/02/2021 11:03:57,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,14,grey2,Zone1,continue_button,5865,,,,,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
5,1614078243698,23/02/2021 11:04:03,1614078243232,0,23/02/2021 11:04:03,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,15,grey3,Zone1,continue_button,5235,,,,,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
6,1614078244198,23/02/2021 11:04:04,1614078243738,0,23/02/2021 11:04:03,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,16,grey4,Zone1,continue_button,474,,,,,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
7,1614078244417,23/02/2021 11:04:04,1614078243958,0,23/02/2021 11:04:03,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,17,grey5,Zone1,continue_button,190,,,,,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
8,1614078244745,23/02/2021 11:04:04,1614078244277,0,23/02/2021 11:04:04,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,18,grey6,Zone1,continue_button,288,,,,,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
9,1614078245074,23/02/2021 11:04:05,1614078244613,0,23/02/2021 11:04:04,27661,5,task-hlnk,,10285174,60311a70543ec5fe2111b84e,3129115,,complete,,6034da1537d5c07cd8823873,computer,Desktop or Laptop,Windows 7,Firefox 85.0,1366x768,1366x654,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,1,1,19,grey7,Zone1,continue_button,311,,,,,0,1,0,,,,,1,sequence,,,<h1>£909.99</h1>,<h1>£432</h1>,<h1>£1320</h1>,<h1>£695.76</h1>,<h1>£923.99</h1>,<h1>£1008</h1>,<h1>£875.99</h1>,<h1>£624</h1>,<h1>£787</h1>,<h1>£1763.99</h1>,<h1>£667</h1>,<h1>£869.99</h1>,£909.99,£432,"£1,320",£695.76,£923.99,"£1,008",£875.99,£624,£787,"£1,763.99",£667,£869.99,,,,,
