Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,chosen face,not chosen face,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price1a,price2a,price3a,price4a,price5a,price6a,price7a,price8a,price9a,price10a,price11a,price12a,,Participant_preference,face_rating,random number,fixation_times
11,1575989570060,10/12/2019 14:52:50,1575989569259,0,10/12/2019 14:52:49,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,21,grey9,Zone1,continue_button,168.20000000000073,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
12,1575989570168,10/12/2019 14:52:50,1575989569451,0,10/12/2019 14:52:49,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,22,grey10,Zone1,continue_button,176.20000000000073,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
13,1575989570340,10/12/2019 14:52:50,1575989569644,0,10/12/2019 14:52:49,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,23,grey11,Zone1,continue_button,176.3000000000011,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
14,1575989577382,10/12/2019 14:52:57,1575989576693,0,10/12/2019 14:52:56,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,24,congratulations,rating19,response_slider_firstInteraction,7053.5028,47,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
15,1575989580522,10/12/2019 14:53:00,1575989579829,0,10/12/2019 14:52:59,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,24,congratulations,rating19,response_slider_endValue,9674.799999999997,47,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
16,1575989580616,10/12/2019 14:53:00,1575989579832,0,10/12/2019 14:52:59,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,24,congratulations,Zone4,continue_button,9674.799999999997,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
17,1575989582150,10/12/2019 14:53:02,1575989581475,0,10/12/2019 14:53:01,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,2,1,1,next sequence?,advancementZone,continue_button,1628.6000000000022,,,0,1,0,,,,,,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1575989584320,10/12/2019 14:53:04,1575989583629,0,10/12/2019 14:53:03,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,1,option1,choice,response_button_text,1933.9000000000015,864,1,1,0,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
19,1575989585564,10/12/2019 14:53:05,1575989584881,0,10/12/2019 14:53:04,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,13,grey1,Zone1,continue_button,1232.5999999999985,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
20,1575989585752,10/12/2019 14:53:05,1575989585073,0,10/12/2019 14:53:05,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,14,grey2,Zone1,continue_button,172,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
