Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,,5_star,3_star,1_star
1,1570440920897,07/10/2019 09:35:20,1570440922127,1,07/10/2019 10:35:22,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1570440927159,07/10/2019 09:35:27,1570440928432,1,07/10/2019 10:35:28,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,1,1,1,instructions,advancementZone,timelimit_screen,6005.218999999999,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1570440931126,07/10/2019 09:35:31,1570440932420,1,07/10/2019 10:35:32,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,1,C1,Zone3,timelimit_screen,4003.617,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
4,1570440933642,07/10/2019 09:35:33,1570440934936,1,07/10/2019 10:35:34,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,2,D1,Zone3,response_button_text,2493.7049999998635,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
5,1570440937626,07/10/2019 09:35:37,1570440938926,1,07/10/2019 10:35:38,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,3,C2,Zone3,timelimit_screen,4003.478000000001,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
6,1570440939110,07/10/2019 09:35:39,1570440940402,1,07/10/2019 10:35:40,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,4,D2,lose,response_button_text,1458.4950000000827,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
7,1570440943112,07/10/2019 09:35:43,1570440944397,1,07/10/2019 10:35:44,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,5,C3,Zone3,timelimit_screen,4003.4389999999985,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
8,1570440944472,07/10/2019 09:35:44,1570440945751,1,07/10/2019 10:35:45,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,6,D3,lose,response_button_text,1338.870000000039,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
9,1570440948460,07/10/2019 09:35:48,1570440949752,1,07/10/2019 10:35:49,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,7,C4,Zone3,timelimit_screen,4003.440999999999,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
10,1570440950604,07/10/2019 09:35:50,1570440951895,1,07/10/2019 10:35:51,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,8,D4,BEST,response_button_text,2125.4500000000007,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
11,1570440953604,07/10/2019 09:35:53,1570440954892,1,07/10/2019 10:35:54,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,26,5star,advancementZone,timelimit_screen,3002.6320000000014,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
12,1570440953682,07/10/2019 09:35:53,1570440954911,1,07/10/2019 10:35:54,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,29,next,content,timelimit_screen,16.680999999996857,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
13,1570440959631,07/10/2019 09:35:59,1570440960911,1,07/10/2019 10:36:00,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,3,2,1,instructions,advancementZone,timelimit_screen,6005.330999999998,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1570440963636,07/10/2019 09:36:03,1570440964916,1,07/10/2019 10:36:04,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,1,C1,Zone3,timelimit_screen,4003.6820000000007,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
15,1570440965511,07/10/2019 09:36:05,1570440966798,1,07/10/2019 10:36:06,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,2,D1,Zone3,response_button_text,1867.6550000000134,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
16,1570440969498,07/10/2019 09:36:09,1570440970791,1,07/10/2019 10:36:10,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,3,C2,Zone3,timelimit_screen,4003.184000000001,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
17,1570440970629,07/10/2019 09:36:10,1570440971911,1,07/10/2019 10:36:11,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,4,D2,lose,response_button_text,1097.645000000055,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
18,1570440974632,07/10/2019 09:36:14,1570440975909,1,07/10/2019 10:36:15,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,5,C3,Zone3,timelimit_screen,4003.1879999999946,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
19,1570440975523,07/10/2019 09:36:15,1570440976807,1,07/10/2019 10:36:16,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,6,D3,lose,response_button_text,877.070000000007,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
20,1570440979526,07/10/2019 09:36:19,1570440980804,1,07/10/2019 10:36:20,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,7,C4,Zone3,timelimit_screen,4007.9619999999995,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
21,1570440980479,07/10/2019 09:36:20,1570440981767,1,07/10/2019 10:36:21,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,8,D4,lose,response_button_text,924.7699999998586,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
22,1570440984478,07/10/2019 09:36:24,1570440985767,1,07/10/2019 10:36:25,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,9,C5,Zone3,timelimit_screen,3997.7249999999985,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
23,1570440985090,07/10/2019 09:36:25,1570440986377,1,07/10/2019 10:36:26,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,10,D5,BEST,response_button_text,575.1150000000926,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
24,1570440988093,07/10/2019 09:36:28,1570440989377,1,07/10/2019 10:36:29,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,26,5star,advancementZone,timelimit_screen,3004.0669999999955,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
25,1570440988154,07/10/2019 09:36:28,1570440989403,1,07/10/2019 10:36:29,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,2,29,next,content,timelimit_screen,16.688000000009197,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
26,1570440994110,07/10/2019 09:36:34,1570440995398,1,07/10/2019 10:36:35,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,5,3,1,instructions,advancementZone,timelimit_screen,6003.451000000001,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1570440998115,07/10/2019 09:36:38,1570440999401,1,07/10/2019 10:36:39,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,1,C1,Zone3,timelimit_screen,4003.834999999992,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
28,1570440998615,07/10/2019 09:36:38,1570440999895,1,07/10/2019 10:36:39,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,2,D1,Zone3,response_button_text,465.52500000006694,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
29,1570441002606,07/10/2019 09:36:42,1570441003890,1,07/10/2019 10:36:43,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,3,C2,Zone3,timelimit_screen,3993.279999999999,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
30,1570441003296,07/10/2019 09:36:43,1570441004584,1,07/10/2019 10:36:44,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,4,D2,lose,response_button_text,657.3550000000541,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
31,1570441007294,07/10/2019 09:36:47,1570441008574,1,07/10/2019 10:36:48,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,5,C3,Zone3,timelimit_screen,4001.6440000000002,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
32,1570441007798,07/10/2019 09:36:47,1570441009077,1,07/10/2019 10:36:49,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,6,D3,lose,response_button_text,470.97499999996217,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
33,1570441011794,07/10/2019 09:36:51,1570441013079,1,07/10/2019 10:36:53,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,7,C4,Zone3,timelimit_screen,4001.738999999987,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
34,1570441013325,07/10/2019 09:36:53,1570441014600,1,07/10/2019 10:36:54,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,2,3,8,D4,BEST,response_button_text,1497.3299999999144,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,lose,lose,lose,5star,lose,lose,3star,lose,lose,lose,1star,lose,<strong>768</strong>,<strong>1253.99</strong>,,Option4,Option7,Option11
