Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,,5_star,3_star,1_star
55,1570441340921,07/10/2019 09:42:20,1570441340621,1,07/10/2019 10:42:20,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,3,27,3star,advancementZone,timelimit_screen,2999.8517305000278,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
56,1570441341109,07/10/2019 09:42:21,1570441340702,1,07/10/2019 10:42:20,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,14,3,29,next,content,timelimit_screen,83.25816769999801,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,,Option5,Option10,Option1
57,1570441347000,07/10/2019 09:42:27,1570441346702,1,07/10/2019 10:42:26,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,7,4,1,instructions,advancementZone,timelimit_screen,6000.060598400014,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1570441350992,07/10/2019 09:42:30,1570441350703,1,07/10/2019 10:42:30,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,1,C1,Zone3,timelimit_screen,4000.3090677999717,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
59,1570441352430,07/10/2019 09:42:32,1570441352186,1,07/10/2019 10:42:32,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,2,D1,Zone3,response_button_text,1398,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
60,1570441356417,07/10/2019 09:42:36,1570441356186,1,07/10/2019 10:42:36,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,3,C2,Zone3,timelimit_screen,3999.995076499996,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
61,1570441356966,07/10/2019 09:42:36,1570441356730,1,07/10/2019 10:42:36,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,4,D2,lose,response_button_text,529,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
62,1570441360967,07/10/2019 09:42:40,1570441360728,1,07/10/2019 10:42:40,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,5,C3,Zone3,timelimit_screen,4000.0001088000135,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
63,1570441361545,07/10/2019 09:42:41,1570441361265,1,07/10/2019 10:42:41,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,6,D3,lose,response_button_text,519,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
64,1570441365472,07/10/2019 09:42:45,1570441365249,1,07/10/2019 10:42:45,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,7,C4,Zone3,timelimit_screen,4000.0001087999844,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
