Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
5,1614083537699,23/02/2021 12:32:17,1614083537521,0,23/02/2021 12:32:17,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,3,C2,Zone3,timelimit_screen,4000.7980000000007,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
6,1614083538718,23/02/2021 12:32:18,1614083538586,0,23/02/2021 12:32:18,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,4,D2,lose,response_button_text,1040.3249999508262,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
7,1614083542723,23/02/2021 12:32:22,1614083542572,0,23/02/2021 12:32:22,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,5,C3,Zone3,timelimit_screen,4001.3379999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
8,1614083543309,23/02/2021 12:32:23,1614083543174,0,23/02/2021 12:32:23,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,6,D3,lose,response_button_text,582.9649999504909,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
9,1614083547311,23/02/2021 12:32:27,1614083547173,0,23/02/2021 12:32:27,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,7,C4,Zone3,timelimit_screen,4001.1269999999968,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
10,1614083547716,23/02/2021 12:32:27,1614083547574,0,23/02/2021 12:32:27,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,8,D4,lose,response_button_text,383.8599999435246,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
11,1614083551712,23/02/2021 12:32:31,1614083551574,0,23/02/2021 12:32:31,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,9,C5,Zone3,timelimit_screen,4000.984999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
12,1614083558847,23/02/2021 12:32:38,1614083558659,0,23/02/2021 12:32:38,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,10,D5,BEST,response_button_text,7066.630000015721,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
13,1614083561785,23/02/2021 12:32:41,1614083561645,0,23/02/2021 12:32:41,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,26,5star,advancementZone,timelimit_screen,3000.7339999999967,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
14,1614083561848,23/02/2021 12:32:41,1614083561663,0,23/02/2021 12:32:41,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,14,1,29,next,content,timelimit_screen,16.27100000000064,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
