Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
9,1614083226904,23/02/2021 12:27:06,1614083218441,0,23/02/2021 12:26:58,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,7,C4,Zone3,timelimit_screen,3996.0679999999993,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
10,1614083227716,23/02/2021 12:27:07,1614083219249,0,23/02/2021 12:26:59,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,8,D4,lose,response_button_text,788.8800000073388,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
11,1614083231709,23/02/2021 12:27:11,1614083223236,0,23/02/2021 12:27:03,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,9,C5,Zone3,timelimit_screen,3996.0830000000024,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
12,1614083232241,23/02/2021 12:27:12,1614083223788,0,23/02/2021 12:27:03,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,10,D5,lose,response_button_text,531.5100000007078,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
13,1614083236242,23/02/2021 12:27:16,1614083227782,0,23/02/2021 12:27:07,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,11,C6,Zone3,timelimit_screen,3996.0729999999967,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
14,1614083236742,23/02/2021 12:27:16,1614083228281,0,23/02/2021 12:27:08,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,12,D6,lose,response_button_text,480.6800000369549,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
15,1614083240751,23/02/2021 12:27:20,1614083232277,0,23/02/2021 12:27:12,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,13,C7,Zone3,timelimit_screen,3995.9909999999945,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
16,1614083241260,23/02/2021 12:27:21,1614083232795,0,23/02/2021 12:27:12,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,14,D7,lose,response_button_text,498.7049999181181,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
17,1614083245267,23/02/2021 12:27:25,1614083236790,0,23/02/2021 12:27:16,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,15,C8,Zone3,timelimit_screen,3996.114999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
18,1614083245779,23/02/2021 12:27:25,1614083237317,0,23/02/2021 12:27:17,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,16,D8,lose,response_button_text,508.0450000241399,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
19,1614083249771,23/02/2021 12:27:29,1614083241302,0,23/02/2021 12:27:21,27662,6,task-c2op,,10288142,5eb5a9558c81f60d7bf66c83,3130131,,complete,,6034ef40875cc09c094504dd,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1242x597,,Hybrid 2 bruno sequence,5,6,6,6,14,1,17,C9,Zone3,timelimit_screen,3996.095000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>1155</strong>,<strong>1320</strong>,<strong>551.76</strong>,<strong>723</strong>,<strong>811</strong>,<strong>1065.99</strong>,<strong>875.99</strong>,,5star,lose,lose,lose,lose,3star,1star,lose,lose,lose,lose,lose,<strong>744</strong>,<strong>795.99</strong>,Option1,Option6,Option7
