Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
77,1614083217508,23/02/2021 12:26:57,1614083217730,0,23/02/2021 12:26:57,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,6,5,17,C9,Zone3,timelimit_screen,3996.5200000000186,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
78,1614083217805,23/02/2021 12:26:57,1614083218044,0,23/02/2021 12:26:58,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,6,5,18,D9,lose,response_button_text,310,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
79,1614083221791,23/02/2021 12:27:01,1614083222026,0,23/02/2021 12:27:02,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,6,5,19,C10,Zone3,timelimit_screen,3996.5,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
80,1614083222340,23/02/2021 12:27:02,1614083222562,0,23/02/2021 12:27:02,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,6,5,20,D10,BEST,response_button_text,532,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
81,1614083225334,23/02/2021 12:27:05,1614083225556,0,23/02/2021 12:27:05,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,6,5,26,5star,advancementZone,timelimit_screen,2997.3799999999756,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
82,1614083225419,23/02/2021 12:27:05,1614083225573,0,23/02/2021 12:27:05,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,6,5,29,next,content,timelimit_screen,16.660000000003492,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
83,1614083231340,23/02/2021 12:27:11,1614083231568,0,23/02/2021 12:27:11,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,11,6,1,instructions,advancementZone,timelimit_screen,5994.760000000009,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1614083235336,23/02/2021 12:27:15,1614083235564,0,23/02/2021 12:27:15,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,10,6,1,C1,Zone3,timelimit_screen,3996.5,,,,,0,1,0,,,1,,1,sequence,,,<strong>1155</strong>,<strong>1253.99</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>769.75</strong>,<strong>1229.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,lose,3star,<strong>1083</strong>,<strong>667</strong>,Option4,Option12,Option3
85,1614083236611,23/02/2021 12:27:16,1614083236829,0,23/02/2021 12:27:16,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,10,6,2,D1,Zone3,response_button_text,1260,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1155</strong>,<strong>1253.99</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>769.75</strong>,<strong>1229.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,lose,3star,<strong>1083</strong>,<strong>667</strong>,Option4,Option12,Option3
86,1614083241103,23/02/2021 12:27:21,1614083240826,0,23/02/2021 12:27:20,27662,6,task-ityp,,10288066,5f0c74994f616109c2ad55b4,3130277,,complete,,6034f12bcb429254e07a2e88,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,,Hybrid 2 bruno sequence,5,3,3,3,10,6,3,C2,Zone3,timelimit_screen,3996.5199999999895,,,,,0,1,0,,,1,,1,sequence,,,<strong>1155</strong>,<strong>1253.99</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>769.75</strong>,<strong>1229.99</strong>,<strong>1709</strong>,<strong>864</strong>,<strong>915</strong>,<strong>1763.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,lose,3star,<strong>1083</strong>,<strong>667</strong>,Option4,Option12,Option3
