Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
75,1614083163729,23/02/2021 12:26:03,1614083163628,0,23/02/2021 12:26:03,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,10,5,19,C10,Zone3,timelimit_screen,4000,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1320</strong>,<strong>787</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>799.99</strong>,,5star,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,lose,<strong>801.99</strong>,<strong>864</strong>,Option1,Option3,Option10
76,1614083164666,23/02/2021 12:26:04,1614083164564,0,23/02/2021 12:26:04,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,10,5,20,D10,BEST,response_button_text,916,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1320</strong>,<strong>787</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>799.99</strong>,,5star,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,lose,<strong>801.99</strong>,<strong>864</strong>,Option1,Option3,Option10
77,1614083167752,23/02/2021 12:26:07,1614083167563,0,23/02/2021 12:26:07,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,10,5,28,1star,advancementZone,timelimit_screen,3003,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1320</strong>,<strong>787</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>799.99</strong>,,5star,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,lose,<strong>801.99</strong>,<strong>864</strong>,Option1,Option3,Option10
78,1614083167845,23/02/2021 12:26:07,1614083167580,0,23/02/2021 12:26:07,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,10,5,29,next,content,timelimit_screen,17,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1320</strong>,<strong>787</strong>,<strong>875.99</strong>,<strong>1065.99</strong>,<strong>1113.99</strong>,<strong>1709</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>799.99</strong>,,5star,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,lose,<strong>801.99</strong>,<strong>864</strong>,Option1,Option3,Option10
79,1614083173729,23/02/2021 12:26:13,1614083173577,0,23/02/2021 12:26:13,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,11,6,1,instructions,advancementZone,timelimit_screen,5996,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1614083177687,23/02/2021 12:26:17,1614083177580,0,23/02/2021 12:26:17,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,1,C1,Zone3,timelimit_screen,4003,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
81,1614083178168,23/02/2021 12:26:18,1614083178060,0,23/02/2021 12:26:18,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,2,D1,Zone3,response_button_text,461,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
82,1614083182191,23/02/2021 12:26:22,1614083182047,0,23/02/2021 12:26:22,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,3,C2,Zone3,timelimit_screen,4002,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
83,1614083182617,23/02/2021 12:26:22,1614083182519,0,23/02/2021 12:26:22,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,4,D2,lose,response_button_text,450.9999999999709,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
84,1614083186617,23/02/2021 12:26:26,1614083186514,0,23/02/2021 12:26:26,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,5,C3,Zone3,timelimit_screen,4000,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
